1337,1419,1598,1821,1394,922,2251,1743,1076,1013,1507,2210,1887,2327,857,1503,2662
1337,1419,1598,1821,1394,922,2251,1743,1076,1013,1507,2210,1887,2327,857,1503,2662
944,837,1376,951,2176,2089,1905,1956,1438,1292,563,551,187,1091,1595,687,1713
944,837,1376,951,2176,2089,1905,1956,1438,1292,563,551,187,1091,1595,687,1713
1170,1181,942,408,2025,1938,2215,1814,1138,1141,556,690,720,1192,1331,1292,1944
1458,1539,1811,1990,1158,1139,555,748,1603,1390,1651,2405,2007,2136,1666,1623,1430
438,362,1359,1608,1701,1614,1398,1475,963,817,871,1261,743,1154,1120,329,1489
770,662,1422,1287,2001,1914,1730,1775,1264,1117,985,822,304,585,1420,497,1337
647,729,1194,1373,1266,1179,1575,582,789,526,839,1593,1196,1636,1190,812,1971
597,679,1178,1357,1364,1277,1637,753,773,510,790,1543,1147,1587,1063,763,1922
1246,1281,266,1233,1692,1605,2285,1711,1073,808,956,1426,1651,1585,1233,1411,2337
779,861,1039,1262,1269,1220,1819,1414,551,455,949,1652,1329,1769,158,944,2104
965,1047,1318,1497,437,387,1312,804,1110,897,1159,1912,1515,1955,1030,1130,2186
1769,1559,2130,2314,2585,2538,1242,2090,2160,2014,1978,1626,1574,1292,2317,1309,51
